Element,Rotation axis,GB type,Crystal type,Potential,Sigma,GB plane,Misorientation Angle (°),GB energy (J/m²),Free volume (nm)
Cu,[111],STGB,FCC,UNEP,133,(23 -10 -13),8.61,0.73,0.0193
Cu,[111],STGB,FCC,UNEP,111,(1 -11 10),9.43,0.66,0.0730
Cu,[111],STGB,FCC,UNEP,91,(19 -8 -11),10.42,0.70,0.0233
Cu,[111],STGB,FCC,UNEP,73,(17 -7 -10),11.64,0.81,0.0173
Cu,[111],STGB,FCC,UNEP,57,(1 -8 7),13.17,0.75,0.0679
Cu,[111],STGB,FCC,UNEP,43,(13 -5 -8),15.18,0.81,0.0226
Cu,[111],STGB,FCC,UNEP,31,(11 -4 -7),17.9,0.86,0.0133
Cu,[111],STGB,FCC,UNEP,21,(1 -5 4),21.79,0.78,0.0560
Cu,[111],STGB,FCC,UNEP,67,(16 -5 -11),24.43,0.98,0.0181
Cu,[111],STGB,FCC,UNEP,13,(7 -2 -5),27.8,0.90,0.0205
Cu,[111],STGB,FCC,UNEP,97,(19 -5 -14),30.59,0.95,0.0226
Cu,[111],STGB,FCC,UNEP,39,(2 -7 5),32.2,0.88,0.0616
Cu,[111],STGB,FCC,UNEP,79,(17 -4 -13),33.99,0.92,0.0417
Cu,[111],STGB,FCC,UNEP,7,(5 -1 -4),38.21,0.86,0.0000
Cu,[111],STGB,FCC,UNEP,93,(4 -11 7),42.1,0.88,0.0665
Cu,[111],STGB,FCC,UNEP,49,(13 -2 -11),43.57,0.93,0.0212
Cu,[111],STGB,FCC,UNEP,19,(8 -1 -7),46.83,0.88,0.0170
Cu,[111],STGB,FCC,UNEP,37,(11 -1 -10),50.57,0.88,0.0487
Cu,[111],STGB,FCC,UNEP,61,(14 -1 -13),52.66,0.91,0.0379
Cu,[111],STGB,FCC,UNEP,3,(1 -2 1),60,0.70,0.0740
Cu,[111],STGB,FCC,eSEN,273,(1 -17 16),6.01,0.78,0.0519
Cu,[111],STGB,FCC,eSEN,183,(1 -14 13),7.34,0.75,0.0166
Cu,[111],STGB,FCC,eSEN,157,(25 -11 -14),7.93,0.66,0.0348
Cu,[111],STGB,FCC,eSEN,111,(1 -11 10),9.43,0.79,0.0499
Cu,[111],STGB,FCC,eSEN,57,(1 -8 7),13.17,0.87,0.0527
Cu,[111],STGB,FCC,eSEN,31,(11 -4 -7),17.9,0.81,0.0316
Cu,[111],STGB,FCC,eSEN,21,(1 -5 4),21.79,1.05,0.0602
Cu,[111],STGB,FCC,eSEN,13,(7 -2 -5),27.8,0.91,0.0306
Cu,[111],STGB,FCC,eSEN,39,(2 -7 5),32.2,1.12,0.0542
Cu,[111],STGB,FCC,eSEN,7,(5 -1 -4),38.21,0.85,0.0280
Cu,[111],STGB,FCC,eSEN,93,(4 -11 7),42.1,1.14,0.0504
Cu,[111],STGB,FCC,eSEN,19,(8 -1 -7),46.83,0.93,0.0288
Cu,[111],STGB,FCC,eSEN,3,(1 -2 1),60,0.99,0.0708
Cu,[111],TWGB,FCC,ADP,109,(1 1 1),6.01,0.35,0.0070
Cu,[111],TWGB,FCC,ADP,241,(1 1 1),6.4,0.26,0.0046
Cu,[111],TWGB,FCC,ADP,211,(1 1 1),6.84,0.26,0.0049
Cu,[111],TWGB,FCC,ADP,183,(1 1 1),7.34,0.33,0.0061
Cu,[111],TWGB,FCC,ADP,157,(1 1 1),7.93,0.29,0.0056
Cu,[111],TWGB,FCC,ADP,133,(1 1 1),8.61,0.31,0.0061
Cu,[111],TWGB,FCC,ADP,103,(1 1 1),9.43,0.40,0.0090
Cu,[111],TWGB,FCC,ADP,91,(1 1 1),10.42,0.36,0.0074
Cu,[111],TWGB,FCC,ADP,73,(1 1 1),11.64,0.39,0.0080
Cu,[111],TWGB,FCC,ADP,57,(1 1 1),13.17,0.41,0.0086
Cu,[111],TWGB,FCC,ADP,43,(1 1 1),15.18,0.42,0.0091
Cu,[111],TWGB,FCC,ADP,31,(1 1 1),17.9,0.43,0.0095
Cu,[111],TWGB,FCC,ADP,21,(1 1 1),21.79,0.44,0.0100
Cu,[111],TWGB,FCC,ADP,67,(1 1 1),24.43,0.44,0.0099
Cu,[111],TWGB,FCC,ADP,13,(1 1 1),27.8,0.45,0.0101
Cu,[111],TWGB,FCC,ADP,97,(1 1 1),30.59,0.43,0.0096
Cu,[111],TWGB,FCC,ADP,39,(1 1 1),32.2,0.45,0.0102
Cu,[111],TWGB,FCC,ADP,79,(1 1 1),33.99,0.42,0.0096
Cu,[111],TWGB,FCC,ADP,7,(1 1 1),38.21,0.44,0.0100
Cu,[111],TWGB,FCC,ADP,93,(1 1 1),42.1,0.43,0.0095
Cu,[111],TWGB,FCC,ADP,49,(1 1 1),43.57,0.42,0.0092
Cu,[111],TWGB,FCC,ADP,19,(1 1 1),46.83,0.41,0.0086
Cu,[111],TWGB,FCC,ADP,37,(1 1 1),50.57,0.37,0.0074
Cu,[111],TWGB,FCC,ADP,61,(1 1 1),52.66,0.35,0.0066
Cu,[111],TWGB,FCC,ADP,3,(1 1 1),60,0.13,0.0021
Cu,[111],TWGB,FCC,EAM,109,(1 1 1),6.01,0.35,0.0070
Cu,[111],TWGB,FCC,EAM,241,(1 1 1),6.4,0.26,0.0046
Cu,[111],TWGB,FCC,EAM,211,(1 1 1),6.84,0.26,0.0049
Cu,[111],TWGB,FCC,EAM,183,(1 1 1),7.34,0.33,0.0061
Cu,[111],TWGB,FCC,EAM,157,(1 1 1),7.93,0.29,0.0056
Cu,[111],TWGB,FCC,EAM,133,(1 1 1),8.61,0.31,0.0061
Cu,[111],TWGB,FCC,EAM,103,(1 1 1),9.43,0.40,0.0090
Cu,[111],TWGB,FCC,EAM,91,(1 1 1),10.42,0.36,0.0074
Cu,[111],TWGB,FCC,EAM,73,(1 1 1),11.64,0.39,0.0080
Cu,[111],TWGB,FCC,EAM,57,(1 1 1),13.17,0.41,0.0087
Cu,[111],TWGB,FCC,EAM,43,(1 1 1),15.18,0.42,0.0091
Cu,[111],TWGB,FCC,EAM,31,(1 1 1),17.9,0.43,0.0095
Cu,[111],TWGB,FCC,EAM,21,(1 1 1),21.79,0.44,0.0099
Cu,[111],TWGB,FCC,EAM,67,(1 1 1),24.43,0.44,0.0099
Cu,[111],TWGB,FCC,EAM,13,(1 1 1),27.8,0.45,0.0100
Cu,[111],TWGB,FCC,EAM,97,(1 1 1),30.59,0.42,0.0096
Cu,[111],TWGB,FCC,EAM,39,(1 1 1),32.2,0.45,0.0102
Cu,[111],TWGB,FCC,EAM,79,(1 1 1),33.99,0.42,0.0096
Cu,[111],TWGB,FCC,EAM,7,(1 1 1),38.21,0.44,0.0100
Cu,[111],TWGB,FCC,EAM,93,(1 1 1),42.1,0.43,0.0095
Cu,[111],TWGB,FCC,EAM,49,(1 1 1),43.57,0.42,0.0092
Cu,[111],TWGB,FCC,EAM,19,(1 1 1),46.83,0.41,0.0088
Cu,[111],TWGB,FCC,EAM,37,(1 1 1),50.57,0.37,0.0074
Cu,[111],TWGB,FCC,EAM,61,(1 1 1),52.66,0.35,0.0066
Cu,[111],TWGB,FCC,EAM,3,(1 1 1),60,0.13,0.0017
Cu,[111],TWGB,FCC,GRACE,109,(1 1 1),6.01,0.30,0.0084
Cu,[111],TWGB,FCC,GRACE,241,(1 1 1),6.4,0.24,0.0062
Cu,[111],TWGB,FCC,GRACE,211,(1 1 1),6.84,0.24,0.0065
Cu,[111],TWGB,FCC,GRACE,183,(1 1 1),7.34,0.25,0.0066
Cu,[111],TWGB,FCC,GRACE,157,(1 1 1),7.93,0.26,0.0070
Cu,[111],TWGB,FCC,GRACE,133,(1 1 1),8.61,0.27,0.0073
Cu,[111],TWGB,FCC,GRACE,103,(1 1 1),9.43,0.34,0.0110
Cu,[111],TWGB,FCC,GRACE,91,(1 1 1),10.42,0.29,0.0082
Cu,[111],TWGB,FCC,GRACE,73,(1 1 1),11.64,0.30,0.0087
Cu,[111],TWGB,FCC,GRACE,57,(1 1 1),13.17,0.31,0.0093
Cu,[111],TWGB,FCC,GRACE,43,(1 1 1),15.18,0.32,0.0100
Cu,[111],TWGB,FCC,GRACE,31,(1 1 1),17.9,0.34,0.0107
Cu,[111],TWGB,FCC,GRACE,21,(1 1 1),21.79,0.35,0.0113
Cu,[111],TWGB,FCC,GRACE,67,(1 1 1),24.43,0.35,0.0115
Cu,[111],TWGB,FCC,GRACE,13,(1 1 1),27.8,0.35,0.0117
Cu,[111],TWGB,FCC,GRACE,97,(1 1 1),30.59,0.35,0.0118
Cu,[111],TWGB,FCC,GRACE,39,(1 1 1),32.2,0.35,0.0117
Cu,[111],TWGB,FCC,GRACE,79,(1 1 1),33.99,0.35,0.0116
Cu,[111],TWGB,FCC,GRACE,7,(1 1 1),38.21,0.35,0.0113
Cu,[111],TWGB,FCC,GRACE,93,(1 1 1),42.1,0.34,0.0106
Cu,[111],TWGB,FCC,GRACE,49,(1 1 1),43.57,0.33,0.0103
Cu,[111],TWGB,FCC,GRACE,19,(1 1 1),46.83,0.31,0.0093
Cu,[111],TWGB,FCC,GRACE,37,(1 1 1),50.57,0.28,0.0076
Cu,[111],TWGB,FCC,GRACE,61,(1 1 1),52.66,0.25,0.0065
Cu,[111],TWGB,FCC,GRACE,3,(1 1 1),60,0.03,0.0007
Cu,[111],TWGB,FCC,MACE,21,(1 1 1),21.79,0.30,0.0099
Cu,[111],TWGB,FCC,MACE,13,(1 1 1),27.8,0.31,0.0103
Cu,[111],TWGB,FCC,MACE,39,(1 1 1),32.2,0.31,0.0103
Cu,[111],TWGB,FCC,MACE,7,(1 1 1),38.21,0.30,0.0099
Cu,[111],TWGB,FCC,MACE,3,(1 1 1),60,0.01,0.0002
Cu,[111],TWGB,FCC,MEAM,109,(1 1 1),6.01,0.41,0.0067
Cu,[111],TWGB,FCC,MEAM,241,(1 1 1),6.4,0.31,0.0048
Cu,[111],TWGB,FCC,MEAM,211,(1 1 1),6.84,0.32,0.0050
Cu,[111],TWGB,FCC,MEAM,183,(1 1 1),7.34,0.37,0.0066
Cu,[111],TWGB,FCC,MEAM,157,(1 1 1),7.93,0.34,0.0056
Cu,[111],TWGB,FCC,MEAM,133,(1 1 1),8.61,0.37,0.0061
Cu,[111],TWGB,FCC,MEAM,103,(1 1 1),9.43,0.46,0.0082
Cu,[111],TWGB,FCC,MEAM,91,(1 1 1),10.42,0.42,0.0073
Cu,[111],TWGB,FCC,MEAM,73,(1 1 1),11.64,0.44,0.0078
Cu,[111],TWGB,FCC,MEAM,57,(1 1 1),13.17,0.47,0.0086
Cu,[111],TWGB,FCC,MEAM,43,(1 1 1),15.18,0.48,0.0086
Cu,[111],TWGB,FCC,MEAM,31,(1 1 1),17.9,0.49,0.0087
Cu,[111],TWGB,FCC,MEAM,21,(1 1 1),21.79,0.47,0.0090
Cu,[111],TWGB,FCC,MEAM,67,(1 1 1),24.43,0.50,0.0092
Cu,[111],TWGB,FCC,MEAM,13,(1 1 1),27.8,0.51,0.0092
Cu,[111],TWGB,FCC,MEAM,97,(1 1 1),30.59,0.49,0.0082
Cu,[111],TWGB,FCC,MEAM,39,(1 1 1),32.2,0.51,0.0093
Cu,[111],TWGB,FCC,MEAM,79,(1 1 1),33.99,0.48,0.0085
Cu,[111],TWGB,FCC,MEAM,7,(1 1 1),38.21,0.46,0.0089
Cu,[111],TWGB,FCC,MEAM,93,(1 1 1),42.1,0.49,0.0088
Cu,[111],TWGB,FCC,MEAM,49,(1 1 1),43.57,0.48,0.0086
Cu,[111],TWGB,FCC,MEAM,19,(1 1 1),46.83,0.47,0.0082
Cu,[111],TWGB,FCC,MEAM,37,(1 1 1),50.57,0.43,0.0077
Cu,[111],TWGB,FCC,MEAM,61,(1 1 1),52.66,0.39,0.0070
Cu,[111],TWGB,FCC,MEAM,3,(1 1 1),60,0.12,0.0032
Cu,[111],TWGB,FCC,ORB,21,(1 1 1),21.79,0.31,0.0040
Cu,[111],TWGB,FCC,ORB,13,(1 1 1),27.8,0.32,0.0080
Cu,[111],TWGB,FCC,ORB,39,(1 1 1),32.2,0.32,0.0077
Cu,[111],TWGB,FCC,ORB,7,(1 1 1),38.21,0.31,0.0027
Cu,[111],TWGB,FCC,ORB,3,(1 1 1),60,0.00,0.0007
Cu,[111],TWGB,FCC,SNAP,109,(1 1 1),6.01,0.31,0.0054
Cu,[111],TWGB,FCC,SNAP,241,(1 1 1),6.4,0.25,0.0045
Cu,[111],TWGB,FCC,SNAP,211,(1 1 1),6.84,0.26,0.0046
Cu,[111],TWGB,FCC,SNAP,183,(1 1 1),7.34,0.26,0.0049
Cu,[111],TWGB,FCC,SNAP,157,(1 1 1),7.93,0.27,0.0049
Cu,[111],TWGB,FCC,SNAP,133,(1 1 1),8.61,0.28,0.0050
Cu,[111],TWGB,FCC,SNAP,103,(1 1 1),9.43,0.37,0.0056
Cu,[111],TWGB,FCC,SNAP,91,(1 1 1),10.42,0.31,0.0052
Cu,[111],TWGB,FCC,SNAP,73,(1 1 1),11.64,0.32,0.0054
Cu,[111],TWGB,FCC,SNAP,57,(1 1 1),13.17,0.33,0.0057
Cu,[111],TWGB,FCC,SNAP,43,(1 1 1),15.18,0.35,0.0054
Cu,[111],TWGB,FCC,SNAP,31,(1 1 1),17.9,0.36,0.0058
Cu,[111],TWGB,FCC,SNAP,21,(1 1 1),21.79,0.37,0.0057
Cu,[111],TWGB,FCC,SNAP,67,(1 1 1),24.43,0.38,0.0056
Cu,[111],TWGB,FCC,SNAP,13,(1 1 1),27.8,0.38,0.0057
Cu,[111],TWGB,FCC,SNAP,97,(1 1 1),30.59,0.38,0.0056
Cu,[111],TWGB,FCC,SNAP,39,(1 1 1),32.2,0.38,0.0057
Cu,[111],TWGB,FCC,SNAP,79,(1 1 1),33.99,0.38,0.0056
Cu,[111],TWGB,FCC,SNAP,7,(1 1 1),38.21,0.37,0.0057
Cu,[111],TWGB,FCC,SNAP,93,(1 1 1),42.1,0.36,0.0056
Cu,[111],TWGB,FCC,SNAP,49,(1 1 1),43.57,0.35,0.0058
Cu,[111],TWGB,FCC,SNAP,19,(1 1 1),46.83,0.33,0.0057
Cu,[111],TWGB,FCC,SNAP,37,(1 1 1),50.57,0.29,0.0054
Cu,[111],TWGB,FCC,SNAP,61,(1 1 1),52.66,0.26,0.0048
Cu,[111],TWGB,FCC,SNAP,3,(1 1 1),60,0.03,0.0007
Cu,[111],TWGB,FCC,SevenNet,21,(1 1 1),21.79,0.28,0.0109
Cu,[111],TWGB,FCC,SevenNet,13,(1 1 1),27.8,0.28,0.0112
Cu,[111],TWGB,FCC,SevenNet,39,(1 1 1),32.2,0.28,0.0112
Cu,[111],TWGB,FCC,SevenNet,7,(1 1 1),38.21,0.28,0.0110
Cu,[111],TWGB,FCC,UMA,21,(1 1 1),21.79,0.79,0.0196
Cu,[111],TWGB,FCC,UMA,13,(1 1 1),27.8,0.80,0.0195
Cu,[111],TWGB,FCC,UMA,39,(1 1 1),32.2,0.80,0.0196
Cu,[111],TWGB,FCC,UMA,7,(1 1 1),38.21,0.79,0.0191
Cu,[111],TWGB,FCC,UMA,3,(1 1 1),60,0.45,0.0075
Cu,[111],TWGB,FCC,UNEP,109,(1 1 1),6.01,0.29,0.0078
Cu,[111],TWGB,FCC,UNEP,241,(1 1 1),6.4,0.23,0.0069
Cu,[111],TWGB,FCC,UNEP,211,(1 1 1),6.84,0.24,0.0071
Cu,[111],TWGB,FCC,UNEP,183,(1 1 1),7.34,0.25,0.0057
Cu,[111],TWGB,FCC,UNEP,157,(1 1 1),7.93,0.25,0.0073
Cu,[111],TWGB,FCC,UNEP,133,(1 1 1),8.61,0.26,0.0073
Cu,[111],TWGB,FCC,UNEP,103,(1 1 1),9.43,0.34,0.0098
Cu,[111],TWGB,FCC,UNEP,91,(1 1 1),10.42,0.28,0.0071
Cu,[111],TWGB,FCC,UNEP,73,(1 1 1),11.64,0.30,0.0073
Cu,[111],TWGB,FCC,UNEP,57,(1 1 1),13.17,0.31,0.0074
Cu,[111],TWGB,FCC,UNEP,43,(1 1 1),15.18,0.32,0.0080
Cu,[111],TWGB,FCC,UNEP,31,(1 1 1),17.9,0.34,0.0088
Cu,[111],TWGB,FCC,UNEP,21,(1 1 1),21.79,0.34,0.0092
Cu,[111],TWGB,FCC,UNEP,67,(1 1 1),24.43,0.35,0.0093
Cu,[111],TWGB,FCC,UNEP,13,(1 1 1),27.8,0.35,0.0097
Cu,[111],TWGB,FCC,UNEP,97,(1 1 1),30.59,0.35,0.0101
Cu,[111],TWGB,FCC,UNEP,39,(1 1 1),32.2,0.35,0.0095
Cu,[111],TWGB,FCC,UNEP,79,(1 1 1),33.99,0.35,0.0100
Cu,[111],TWGB,FCC,UNEP,7,(1 1 1),38.21,0.35,0.0092
Cu,[111],TWGB,FCC,UNEP,93,(1 1 1),42.1,0.34,0.0088
Cu,[111],TWGB,FCC,UNEP,49,(1 1 1),43.57,0.33,0.0083
Cu,[111],TWGB,FCC,UNEP,19,(1 1 1),46.83,0.31,0.0074
Cu,[111],TWGB,FCC,UNEP,37,(1 1 1),50.57,0.27,0.0062
Cu,[111],TWGB,FCC,UNEP,61,(1 1 1),52.66,0.24,0.0051
Cu,[111],TWGB,FCC,UNEP,3,(1 1 1),60,0.03,0.0004
Cu,[111],TWGB,FCC,eSEN,57,(1 1 1),13.17,0.30,0.0129
Cu,[111],TWGB,FCC,eSEN,31,(1 1 1),17.9,0.32,0.0143
Cu,[111],TWGB,FCC,eSEN,21,(1 1 1),21.79,0.33,0.0151
Cu,[111],TWGB,FCC,eSEN,13,(1 1 1),27.8,0.33,0.0154
Cu,[111],TWGB,FCC,eSEN,39,(1 1 1),32.2,0.33,0.0154
Cu,[111],TWGB,FCC,eSEN,7,(1 1 1),38.21,0.33,0.0151
Cu,[111],TWGB,FCC,eSEN,93,(1 1 1),42.1,0.32,0.0143
Cu,[111],TWGB,FCC,eSEN,19,(1 1 1),46.83,0.30,0.0129
Cu,[111],TWGB,FCC,eSEN,37,(1 1 1),50.57,0.27,0.0111
Cu,[111],TWGB,FCC,eSEN,3,(1 1 1),60,0.01,0.0021
Ni,[100],STGB,FCC,ADP,37,(0 -6 -1),18.925,1.59,0.0233
Ni,[100],STGB,FCC,ADP,13,(0 -5 1),22.62,1.66,0.0348
Ni,[100],STGB,FCC,ADP,17,(0 -4 -1),28.072,1.55,0.0288
Ni,[100],STGB,FCC,ADP,5,(0 1 3),36.87,1.50,0.0201
Ni,[100],STGB,FCC,ADP,29,(0 -2 5),43.603,1.67,0.0288
Ni,[100],STGB,FCC,ADP,5,(0 1 2),53.13,1.49,0.0371
Ni,[100],STGB,FCC,ADP,17,(0 -5 -3),61.928,1.55,0.0299
Ni,[100],STGB,FCC,ADP,13,(0 -3 2),67.38,1.31,0.0243
Ni,[100],STGB,FCC,ADP,37,(0 -7 -5),71.075,1.43,0.0334
Ni,[100],STGB,FCC,ADP,25,(0 -4 3),73.74,1.21,0.0294
Ni,[100],STGB,FCC,ADP,41,(0 -5 4),77.32,1.15,0.0389
Ni,[100],STGB,FCC,ADP,61,(0 -6 5),79.611,1.50,0.0454
Ni,[100],STGB,FCC,EAM,37,(0 -6 -1),18.925,1.45,0.0292
Ni,[100],STGB,FCC,EAM,13,(0 -5 1),22.62,1.51,0.0315
Ni,[100],STGB,FCC,EAM,17,(0 -4 -1),28.072,1.39,0.0334
Ni,[100],STGB,FCC,EAM,5,(0 1 3),36.87,1.32,0.0330
Ni,[100],STGB,FCC,EAM,29,(0 -2 5),43.603,1.52,0.0333
Ni,[100],STGB,FCC,EAM,5,(0 1 2),53.13,1.41,0.0333
Ni,[100],STGB,FCC,EAM,17,(0 -5 -3),61.928,1.44,0.0294
Ni,[100],STGB,FCC,EAM,13,(0 -3 2),67.38,1.21,0.0257
Ni,[100],STGB,FCC,EAM,37,(0 -7 -5),71.075,1.34,0.0257
Ni,[100],STGB,FCC,EAM,25,(0 -4 3),73.74,1.13,0.0219
Ni,[100],STGB,FCC,EAM,41,(0 -5 4),77.32,1.07,0.0187
Ni,[100],STGB,FCC,EAM,61,(0 -6 5),79.611,1.46,0.0204
Ni,[100],STGB,FCC,GRACE,265,(0 -23 1),4.98,0.78,0.0126
Ni,[100],STGB,FCC,GRACE,221,(0 -21 1),5.45,0.83,0.0135
Ni,[100],STGB,FCC,GRACE,181,(0 -19 1),6.03,0.88,0.0147
Ni,[100],STGB,FCC,GRACE,257,(0 -16 -1),7.15,0.97,0.0167
Ni,[100],STGB,FCC,GRACE,113,(0 -15 1),7.63,0.98,0.0171
Ni,[100],STGB,FCC,GRACE,197,(0 -14 -1),8.17,1.05,0.0185
Ni,[100],STGB,FCC,GRACE,85,(0 -13 1),8.8,1.06,0.0190
Ni,[100],STGB,FCC,GRACE,61,(0 -11 1),10.39,1.15,0.0211
Ni,[100],STGB,FCC,GRACE,41,(0 -9 1),12.68,1.26,0.0240
Ni,[100],STGB,FCC,GRACE,25,(0 -7 1),16.26,1.36,0.0251
Ni,[100],STGB,FCC,GRACE,37,(0 -6 -1),18.92,1.43,0.0283
Ni,[100],STGB,FCC,GRACE,13,(0 -5 1),22.62,1.42,0.0289
Ni,[100],STGB,FCC,GRACE,17,(0 -4 -1),28.07,1.57,0.0345
Ni,[100],STGB,FCC,GRACE,5,(0 1 3),36.87,1.31,0.0284
Ni,[100],STGB,FCC,GRACE,29,(0 -2 5),43.6,1.44,0.0312
Ni,[100],STGB,FCC,GRACE,29,(0 -3 7),46.4,1.46,0.0322
Ni,[100],STGB,FCC,GRACE,5,(0 1 2),53.13,1.34,0.0332
Ni,[100],STGB,FCC,GRACE,17,(0 -5 -3),61.93,1.34,0.0295
Ni,[100],STGB,FCC,GRACE,13,(0 -3 2),67.38,1.17,0.0256
Ni,[100],STGB,FCC,GRACE,37,(0 -7 -5),71.08,1.48,0.0355
Ni,[100],STGB,FCC,GRACE,25,(0 -4 3),73.74,1.03,0.0210
Ni,[100],STGB,FCC,GRACE,41,(0 -5 4),77.32,1.39,0.0308
Ni,[100],STGB,FCC,GRACE,61,(0 -6 5),79.61,1.21,0.0291
Ni,[100],STGB,FCC,MACE,25,(0 -7 1),16.26,0.99,0.0271
Ni,[100],STGB,FCC,MACE,37,(0 -6 -1),18.92,1.12,0.0338
Ni,[100],STGB,FCC,MACE,13,(0 -5 1),22.62,1.00,0.0304
Ni,[100],STGB,FCC,MACE,17,(0 -4 -1),28.07,1.12,0.0355
Ni,[100],STGB,FCC,MACE,5,(0 1 3),36.87,0.90,0.0299
Ni,[100],STGB,FCC,MACE,29,(0 -2 5),43.6,1.02,0.0333
Ni,[100],STGB,FCC,MACE,29,(0 -3 7),46.4,1.05,0.0348
Ni,[100],STGB,FCC,MACE,5,(0 1 2),53.13,0.97,0.0337
Ni,[100],STGB,FCC,MACE,17,(0 -5 -3),61.93,0.98,0.0320
Ni,[100],STGB,FCC,MACE,13,(0 -3 2),67.38,0.85,0.0277
Ni,[100],STGB,FCC,MACE,37,(0 -7 -5),71.08,1.12,0.0390
Ni,[100],STGB,FCC,MACE,25,(0 -4 3),73.74,0.76,0.0238
Ni,[100],STGB,FCC,MACE,41,(0 -5 4),77.32,1.07,0.0375
Ni,[100],STGB,FCC,MACE,61,(0 -6 5),79.61,0.94,0.0325
Ni,[100],STGB,FCC,MEAM,37,(0 -6 -1),18.925,1.41,0.0271
Ni,[100],STGB,FCC,MEAM,13,(0 -5 1),22.62,1.43,0.0290
Ni,[100],STGB,FCC,MEAM,17,(0 -4 -1),28.072,1.37,0.0561
Ni,[100],STGB,FCC,MEAM,5,(0 1 3),36.87,1.25,0.0365
Ni,[100],STGB,FCC,MEAM,29,(0 -2 5),43.603,1.45,0.0309
Ni,[100],STGB,FCC,MEAM,5,(0 1 2),53.13,1.32,0.0294
Ni,[100],STGB,FCC,MEAM,17,(0 -5 -3),61.928,1.41,0.0301
Ni,[100],STGB,FCC,MEAM,13,(0 -3 2),67.38,1.21,0.0262
Ni,[100],STGB,FCC,MEAM,37,(0 -7 -5),71.075,1.34,0.0417
Ni,[100],STGB,FCC,MEAM,25,(0 -4 3),73.74,1.14,0.0386
Ni,[100],STGB,FCC,MEAM,41,(0 -5 4),77.32,1.09,0.0403
Ni,[100],STGB,FCC,MEAM,61,(0 -6 5),79.611,1.32,0.0466
Ni,[100],STGB,FCC,ORB,25,(0 -7 1),16.26,1.35,0.0176
Ni,[100],STGB,FCC,ORB,37,(0 -6 -1),18.92,1.55,0.0335
Ni,[100],STGB,FCC,ORB,13,(0 -5 1),22.62,1.40,0.0336
Ni,[100],STGB,FCC,ORB,17,(0 -4 -1),28.07,1.55,0.0409
Ni,[100],STGB,FCC,ORB,5,(0 1 3),36.87,1.31,0.0312
Ni,[100],STGB,FCC,ORB,29,(0 -2 5),43.6,1.43,0.0355
Ni,[100],STGB,FCC,ORB,29,(0 -3 7),46.4,1.45,0.0376
Ni,[100],STGB,FCC,ORB,5,(0 1 2),53.13,1.32,0.0346
Ni,[100],STGB,FCC,ORB,17,(0 -5 -3),61.93,1.32,0.0313
Ni,[100],STGB,FCC,ORB,13,(0 -3 2),67.38,1.16,0.0277
Ni,[100],STGB,FCC,ORB,25,(0 -4 3),73.74,1.01,0.0250
Ni,[100],STGB,FCC,ORB,41,(0 -5 4),77.32,1.38,0.0413
Ni,[100],STGB,FCC,ORB,61,(0 -6 5),79.61,1.19,0.0360
Ni,[100],STGB,FCC,SNAP,37,(0 -6 -1),18.925,1.54,0.0216
Ni,[100],STGB,FCC,SNAP,13,(0 -5 1),22.62,1.57,0.0229
Ni,[100],STGB,FCC,SNAP,17,(0 -4 -1),28.072,1.47,0.0236
Ni,[100],STGB,FCC,SNAP,5,(0 1 3),36.87,1.35,0.0236
Ni,[100],STGB,FCC,SNAP,29,(0 -2 5),43.603,1.58,0.0213
Ni,[100],STGB,FCC,SNAP,5,(0 1 2),53.13,1.44,0.0215
Ni,[100],STGB,FCC,SNAP,17,(0 -5 -3),61.928,1.53,0.0233
Ni,[100],STGB,FCC,SNAP,13,(0 -3 2),67.38,1.27,0.0173
Ni,[100],STGB,FCC,SNAP,37,(0 -7 -5),71.075,1.41,0.0250
Ni,[100],STGB,FCC,SNAP,25,(0 -4 3),73.74,1.20,0.0279
Ni,[100],STGB,FCC,SNAP,41,(0 -5 4),77.32,1.15,0.0241
Ni,[100],STGB,FCC,SNAP,61,(0 -6 5),79.611,1.47,0.0296
Ni,[100],STGB,FCC,SevenNet,25,(0 -7 1),16.26,1.24,0.0251
Ni,[100],STGB,FCC,SevenNet,37,(0 -6 -1),18.92,1.30,0.0276
Ni,[100],STGB,FCC,SevenNet,13,(0 -5 1),22.62,1.32,0.0261
Ni,[100],STGB,FCC,SevenNet,17,(0 -4 -1),28.07,1.41,0.0307
Ni,[100],STGB,FCC,SevenNet,5,(0 1 3),36.87,1.24,0.0276
Ni,[100],STGB,FCC,SevenNet,29,(0 -2 5),43.6,1.32,0.0305
Ni,[100],STGB,FCC,SevenNet,5,(0 1 2),53.13,1.22,0.0303
Ni,[100],STGB,FCC,SevenNet,17,(0 -5 -3),61.93,1.22,0.0267
Ni,[100],STGB,FCC,SevenNet,13,(0 -3 2),67.38,1.07,0.0232
Ni,[100],STGB,FCC,SevenNet,25,(0 -4 3),73.74,0.99,0.0192
Ni,[100],STGB,FCC,SevenNet,41,(0 -5 4),77.32,1.25,0.0326
Ni,[100],STGB,FCC,UMA,197,(0 -14 -1),8.17,1.56,0.0611
Ni,[100],STGB,FCC,UMA,41,(0 -9 1),12.68,1.91,0.0763
Ni,[100],STGB,FCC,UMA,25,(0 -7 1),16.26,1.85,0.1062
Ni,[100],STGB,FCC,UMA,37,(0 -6 -1),18.92,1.96,0.0673
Ni,[100],STGB,FCC,UMA,13,(0 -5 1),22.62,1.75,0.0589
